"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 02 07:57:39 EET 2022","Wed Mar 02 07:57:39 EET 2022","621","","User can create a fixed rate contract","","User can create a fixed rate contract","navigates to fixed rate and verifies the contract type","navigates to fixed rate and verifies the contract type",""
"passed","Wed Mar 02 07:57:33 EET 2022","Wed Mar 02 07:57:38 EET 2022","5676","","User can create a fixed rate contract","","User can create a fixed rate contract","should login with valid credentials and verify the login","should login with valid credentials and verify the login",""
"passed","Wed Mar 02 07:57:38 EET 2022","Wed Mar 02 07:57:39 EET 2022","97","","User can create a fixed rate contract","","User can create a fixed rate contract","navigates to create contract","navigates to create contract",""
"passed","Wed Mar 02 07:57:39 EET 2022","Wed Mar 02 07:57:42 EET 2022","2430","","User can create a fixed rate contract","","User can create a fixed rate contract","sends valid data to fill in general info","sends valid data to fill in general info",""
"passed","Wed Mar 02 07:57:42 EET 2022","Wed Mar 02 07:57:43 EET 2022","1411","","User can create a fixed rate contract","","User can create a fixed rate contract","verify the page and fills in payment details","verify the page and fills in payment details",""
"passed","Wed Mar 02 07:57:43 EET 2022","Wed Mar 02 07:57:45 EET 2022","1597","","User can create a fixed rate contract","","User can create a fixed rate contract","creates the contract","creates the contract",""
"passed","Wed Mar 02 07:57:43 EET 2022","Wed Mar 02 07:57:43 EET 2022","212","","User can create a fixed rate contract","","User can create a fixed rate contract","verifies the page and fills in Benefits and extras","verifies the page and fills in Benefits and extras",""
"passed","Wed Mar 02 07:57:38 EET 2022","Wed Mar 02 07:57:38 EET 2022","0","","User can create a fixed rate contract","","User can create a fixed rate contract","verify logged in","verify logged in",""
"passed","Wed Mar 02 07:57:43 EET 2022","Wed Mar 02 07:57:43 EET 2022","88","","User can create a fixed rate contract","","User can create a fixed rate contract","verifies the page and fills in Define dates form","verifies the page and fills in Define dates form",""
